artista,album,cancion,año,popularidad
Sia,"Everyday Is Christmas (Deluxe Edition)",Snowman,2018,88
"The Neighbourhood","Hard To Imagine The Neighbourhood Ever Changing",Softcore,2018,84
"Alec Benjamin","Narrated For You","Let Me Down Slowly",2018,83
"girl in red","we fell in love in october / October Passed Me By","we fell in love in october",2018,83
"The Neighbourhood","Hard To Imagine The Neighbourhood Ever Changing",Reflections,2018,83
"The Weeknd","My Dear Melancholy,","Call Out My Name",2018,82
"Lady Gaga","A Star Is Born Soundtrack",Shallow,2018,81
"Lady Gaga","A Star Is Born Soundtrack (Without Dialogue)","Always Remember Us This Way",2018,81
"The Weeknd","My Dear Melancholy,","I Was Never There",2018,81
"Charlie Puth",Voicenotes,Attention,2018,81
