Artista,Artistas_Similares,genero
Radiohead,"Thom Yorke, Atoms for Peace, Jeff Buckley, Nirvana, Pixies",rock
"Arctic Monkeys","The Last Shadow Puppets, Alex Turner, Miles Kane, Miles Kane and the Death Ramps, The Strokes",rock
"Linkin Park","Mike Shinoda, Dead by Sunrise, Jay-Z and Linkin Park, Dead Sara, Grey Daze",rock
Muse,"Royal Blood, Nothing But Thieves, Franz Ferdinand, Radiohead, Placebo",rock
"Red Hot Chili Peppers","John Frusciante, Foo Fighters, Audioslave, Ataxia, Chris Cornell",rock
