artista,album,cancion,año,popularidad
Djo,DECIDE,"End of Beginning",2022,89
"Harry Styles","Harry's House","As It Was",2022,86
"Sabrina Carpenter","emails i can't send",Nonsense,2022,85
beabadoobee,Beatopia,"the perfect pair",2022,83
"Billie Eilish","Guitar Songs",TV,2022,82
"The 1975","Being Funny In A Foreign Language","About You",2022,82
"Taylor Swift",Midnights,Anti-Hero,2022,81
Feid,"FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM","Feliz Cumpleaños Ferxxo",2022,81
"Imagine Dragons","Mercury - Acts 1 & 2",Bones,2022,80
"The Weeknd","Dawn FM","Is There Someone Else?",2022,80
