Artista,Artistas_Similares,genero
"Taylor Swift","Olivia Rodrigo, Sabrina Carpenter, Gracie Abrams, Chappell Roan, Lorde",pop
BTS,"j-hope, RM, Agust D, Jin, Jung Kook",pop
"Lana Del Rey","Emile Haynie, Lorde, Billie Eilish, Marina & the Diamonds, Melanie Martinez",pop
Drake,"DJ Khaled, Drake & Future, PARTYNEXTDOOR, Bryson Tiller, Future",pop
"Ariana Grande","Jessie J, Ariana Grande & Nicki Minaj, Sabrina Carpenter, Madison Beer, SZA, Doja Cat",pop
