artista,album,cancion,año,popularidad
"Taylor Swift",Lover,"Cruel Summer",2019,88
"Lewis Capaldi","Divinely Uninspired To A Hellish Extent","Someone You Loved",2019,85
"Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","when the party's over",2019,83
"Post Malone","Hollywood's Bleeding",Circles,2019,83
"Lana Del Rey","Norman Fucking Rockwell!","Cinnamon Girl",2019,82
"Ariana Grande","thank u, next","7 rings",2019,82
"Doja Cat","Hot Pink",Streets,2019,81
"Harry Styles","Fine Line","Watermelon Sugar",2019,81
"Camila Cabello",Romance,Shameless,2019,81
"Lewis Capaldi","Divinely Uninspired To A Hellish Extent (Extended Edition)","Before You Go",2019,80
