cancion,artista,año,genero,popularidad
"End of Beginning",Djo,2022,pop,89
Snowman,Sia,2018,pop,88
"Cruel Summer","Taylor Swift",2019,pop,88
Snooze,SZA,2022,pop,87
"Blinding Lights","The Weeknd",2020,pop,87
