artista,album,cancion,año,popularidad
"Justin Bieber",Justice,Ghost,2021,83
"Tory Lanez","Alone At Prom","The Color Violet",2021,83
PinkPantheress,"to hell with it",Pain,2021,83
Adele,30,"Easy On Me",2021,82
"Olivia Rodrigo",SOUR,"deja vu",2021,82
"Tate McRae","TOO YOUNG TO BE SAD","you broke me first",2021,82
"Olivia Rodrigo",SOUR,"drivers license",2021,82
"Olivia Rodrigo",SOUR,"good 4 u",2021,81
"Ed Sheeran",=,Shivers,2021,81
"Olivia Rodrigo",SOUR,happier,2021,81
