Artista,Artistas_Similares,genero
"Nine Inch Nails","How to Destroy Angels, Trent Reznor and Atticus Ross, Skinny Puppy, Filter, Gravity Kills",electronic
Björk,"Arca, The Sugarcubes, FKA twigs, Kate Bush, Fiona Apple",electronic
"Aphex Twin","AFX, Polygon Window, Squarepusher, Boards of Canada, Autechre",electronic
"Massive Attack","Hird, Nuspirit Helsinki, The Funky Lowlives, Trüby Trio, Soulstice",electronic
Moby,"Voodoo Child, Röyksopp, Faithless, Groove Armada, Schiller",electronic
