artista,cancion,album,año,spotify_id,popularidad
La Maravillosa Orquesta del Alcohol,Miraflores,Nuevo Cancionero Burgalés,2021,78CC6Od9HAoF0wy16X3gzr,50
Oques Grasses,In The Night,Fans del Sol,2019,4dG8lkQSrRdiQe89ZXx0sT,50
El Barrio,Curandero,Atemporal,2022,4QZccg6eDShz5MIS0vj0Q1,50
Guitarricadelafuente,Abc,Abc,2019,635hgofIxCYGZmZaq92bK2,52
Arde Bogotá,Quiero Casarme Contigo,Quiero Casarme Contigo,2020,6GGAFbhP3EPEoB962gXHH6,50
Arde Bogotá,Tan Alto Como Tus Dudas,LA NOCHE,2021,7e9xg44WcBozcJYlfJY9QY,50
ZOO,Tobogan,Llepolies,2021,4VTUvh41TeBWemxxBHGxOV,50
Paula Mattheus,La Hipoteca,Mi Concierto En El Balcón,2022,6EDwVHFSYHHKth0GgFFd2p,50
Comandante Twin,La Isla del Deseo,Sangrar a Borbotones,2021,2SQMJ3ht2GGQwHwm9q9dfa,50
Viva Suecia,El Bien,El Bien,2022,2y7b6A4hhl3ysYlU2kztGD,49
Oques Grasses,Torno a Ser Jo,Fans del Sol,2019,1x01aWidnuAXwmumSnuRwL,49
La Pegatina,Y volar (con los Caligaris),Ahora o nunca,2018,0vabIwEiZDGml2CyVmGNBX,52
ELYELLA,Todo Lo Que Importa,Todo Lo Que Importa,2018,46zO1Ym5n5R0bcizsOk02v,49
Veintiuno,La vida moderna (feat. Love of Lesbian),La vida moderna (feat. Love of Lesbian),2022,67oh7LlJZOzQiZ7mM2GtRm,49
Vetusta Morla,Finisterre,Cable a Tierra,2021,5FhTo7yj2umChnDdqch8oG,50
Fito y Fitipaldis,Cielo hermético,Cada vez cadáver,2021,2O82EzPmpQZfWO0hfTHOJL,49
Carolina Durante,Las Canciones De Juanita,Carolina Durante,2019,2jlNuMHyRRVygPTyd2Clau,49
Los Secretos,Pero a tu lado 2020,Pero a tu lado 2020,2020,6N8AtnRA7Rx0svrgZtafn3,49
El Barrio,El Licenciao,Atemporal,2022,1Xu2nkrg3bmKxiEVLqjqJL,48
Queen,I Want To Break Free,Bohemian Rhapsody (The Original Soundtrack),2018,7iAqvWLgZzXvH38lA06QZg,69
Oques Grasses,Sta Guai,Fans del Sol,2019,60pwtohz88VHEpAXtTGgYq,48
El Barrio,A Veces,Atemporal,2022,2SuJHXaYVHLIa2HCR5vIRJ,48
Taburete,Roto y Elegante,Matadero 5,2022,4R93vEvbVvzWjq9C6ZNHUR,49
IZAL,La Increíble Historia del Hombre Que Podía Volar Pero No Sabía Cómo,Autoterapia,2018,47nn8l14VASnhqtV33XGgs,49
Ghost,Mary On A Cross,Seven Inches of Satanic Panic,2019,2wBnZdVWa5jVpvYRfGU7rP,76
Oques Grasses,Petar-ho,A Tope amb la Vida,2021,6uA2ws8LIx8zUMEsBwEWAA,48
The Strokes,The Adults Are Talking,The New Abnormal,2020,5ruzrDWcT0vuJIOMW7gMnW,77
Royel Otis,Oysters In My Pocket,Oysters In My Pocket,2022,2B664ulJSVBd6B8SAY3Wux,77
Dani Martín,Cómo Me Gustaría Contarte,Lo Que Me Dé la Gana,2020,21AH6D2xxBxjduEbZHh7i5,48
Tame Impala,Borderline,The Slow Rush,2020,5hM5arv9KDbCHS0k9uqwjr,79
Guitarricadelafuente,Agua y Mezcal,Agua y Mezcal,2019,0BYdY7wCvtzcsBSoqtp3QE,51
