artista,cancion,album,año,spotify_id,popularidad
Celtian,En Tierra de Hadas,En Tierra de Hadas,2019,6mII4G0kzbtic4I2ufv6ja,45
Saurom,El Lazarillo De Tormes,Música,2020,3ZoTZ4D7ruWZLKoSoMsJra,40
Dynazty,Heartless Madness,The Dark Delight,2020,4QaxyJsbo5AR3bnEB7ko8h,59
Ghost,Kiss The Go-Goat,Seven Inches of Satanic Panic,2019,79QLNktJsGNRz4ijFnDywD,59
Bad Omens,Limits,Finding God Before God Finds Me (Deluxe),2020,1u3OxJiXoYFdA0Fmd9yURC,64
Falling In Reverse,Voices In My Head,Voices In My Head,2022,5XUuldRjPXcP5QxyEN4IXT,63
Motionless In White,Masterpiece,Scoring The End Of The World,2022,3c9kVsKF68xMzlS0NikVn3,65
Red Hot Chili Peppers,Black Summer,Black Summer,2022,3a94TbZOxhkI9xuNwYL53b,59
Guns N' Roses,Sympathy For The Devil,Greatest Hits,2020,4InpYF6IH5bhuHwG0R0faj,53
Motionless In White,Somebody Told Me,Somebody Told Me,2020,1KF6uW84ksAUlTMy08gP1R,63
Sons of Aguirre,Privilegiados,Azul/Rojo,2018,0B9ZHqyVIoEiE0ConyPaSE,32
Saurom,Cuando Nadie Nos Ve,Música,2020,6KwgosWpslhmwlRRcRRqiB,47
Wage War,Manic,Manic,2021,5d0CEohvmvqcizfc0cXn1t,59
Bad Omens,CONCRETE JUNGLE,THE DEATH OF PEACE OF MIND,2022,6yCysJaY0lFqHnrHvaR4pF,63
TOOL,Pneuma,Fear Inoculum,2019,03sEzk1VyrUZSgyhoQR0LZ,63
Bad Omens,ARTIFICIAL SUICIDE,THE DEATH OF PEACE OF MIND,2022,2Qv8xJzenocwXyGlMU5PaC,64
Beast In Black,Sweet True Lies,From Hell With Love,2019,2cyJkqB2OYHwWWvKGtrJ0r,58
Rammstein,Giftig,Zeit,2022,3Ye7vnZdrO2Gq5IyyH3cOp,60
Rammstein,Zeit,Zeit,2022,2KsHzM4L7ThhNJB6MHXkPx,60
Rammstein,Zick Zack,Zeit,2022,2w7Ca8DNYXBCgA6Bht7o0N,59
Sabaton,The Red Baron,The Great War,2019,0ePmfd8y7g4zs3E6ew7pDB,59
Sons of Aguirre,PacoPepe,Lo Que Ocurrió Mientras Mirabas a Otro Lado,2019,4FOKemZPrCgNkfVuLplS1g,32
Beast In Black,One Night In Tokyo,Dark Connection,2021,2TZtQt10Ajm3wB4MoqluZj,58
Sabaton,The Attack of the Dead Men,The Great War,2019,2K2NeVnP853rkR5ese8ZLP,60
Celtian,Niamh,En Tierra de Hadas,2019,39IWWEcrnQ17pHnKSTLufJ,39
SiM,The Rumbling (TV Size),The Rumbling (TV Size),2022,0KCSJzsQVxkloxoT7dyrqV,57
The Offspring,Coming For You,Let The Bad Times Roll (Deluxe Edition),2021,0FLmCEO4OccwwiHxveEpt1,54
Volbeat,Shotgun Blues,Servant Of The Mind (Deluxe),2021,2SMNxADB0ffqaIoOwl2x06,60
Electric Callboy,Hypa Hypa,MMXX - Hypa Hypa Edition,2021,2qOmcSjOQEDIJKosonn75a,59
Ghost,Rats,Prequelle,2018,1WjcX541kITk0ACPf5K6Bp,54
Mägo de Oz,Bandera Negra,Bandera Negra,2021,5FrJbQ87NDDkmdW1JZPhLb,43
Slipknot,The Dying Song (Time To Sing),"The End, So Far",2022,6rsoBvxrlxdmqJyGPPciyq,61
Bring Me The Horizon,Obey (with YUNGBLUD),POST HUMAN: SURVIVAL HORROR,2020,6MD6xpFK4cfquxRqXxqwjq,61
Iron Maiden,The Writing on the Wall,Senjutsu,2021,20sXcaJkWP0DdzA58Colw3,54
Sabaton,Soldier of Heaven,The War to End All Wars,2022,2c03eSv5IkwbDty49pKg1L,60
Sabaton,Bismarck,Bismarck,2019,39m87lOMd5ccENPVvAT7gH,60
Ghost,Darkness At The Heart Of My Love,IMPERA,2022,6vXceKic4ACImU0bC3oecd,59
Rammstein,Puppe,Rammstein,2019,2iFgHPoa7FNHwgLnjXzu7F,59
Sleep Token,Hypnosis,This Place Will Become Your Tomb,2021,2UH4BOPtTsRVQBy7abPdat,65
Saurom,La Hija De Las Estrellas,Música,2020,2vPuZGuNUsR89mL2p3rQBc,40
Saurom,La Hija De Las Estrellas,Música,2020,2vPuZGuNUsR89mL2p3rQBc,40
Sabaton,Fields of Verdun,The Great War,2019,2VS1jveuhfU7Latlgfh62T,58
Powerwolf,Demons Are a Girl's Best Friend,The Sacrament of Sin,2018,1KCDsPKFISNM2YZFFAoI7s,57
Caskets,Lost in Echoes,Lost Souls,2021,13YWByXibBltt3T5u3IcT7,63
Slaughter to Prevail,Demolisher,Kostolom,2019,6sm4qIkuAMAq3rKcRCzLw6,59
Bad Wolves,Killing Me Slowly,N.A.T.I.O.N.,2019,5RBWMYMSe6ihNb0hC8ro8v,65
Municipal Waste,Wave of Death,The Last Rager,2019,6egRwYsMJ8DVJQAKOjHWou,56
Ice Nine Kills,A Grave Mistake,The Silver Scream,2018,2mMNBgFRyEiRoGvrdoONeq,62
Falling In Reverse,Drugs,Drugs,2019,5BkCDt5w0WOGgBgDC7T39i,58
Rammstein,Was ich liebe,Rammstein,2019,4anzVbFPUuZTw0KQeZ0qnu,58
Miracle Of Sound,Valhalla Calling - Duet Version,Valhalla Calling (Duet Version),2021,6wW9ews4LjClYwvb9GSida,57
Five Finger Death Punch,A Little Bit Off,F8,2020,6GqqGv8frU7kqzXkm2rewI,66
Electric Callboy,Spaceman (feat. FiNCH),TEKKNO,2022,2zNZ81rcbDUvOmKo0borJr,58
Iron Maiden,Days Of Future Past,Senjutsu,2021,2L42uB1e5wuanTTPEWVe64,54
Five Finger Death Punch,Welcome To The Circus,AfterLife,2022,1linrfCmITmQHs4enAxTUY,62
Beast In Black,From Hell With Love,From Hell With Love,2019,3iKSyNDGzJ3FcjXoDKqehS,55
Lorna Shore,To the Hellfire,To the Hellfire,2021,0O26gtfjuscAOnQobjNPPL,60
Ghost,Hunter’s Moon,IMPERA,2022,2jfQ2g1q0w8tbjN46rLpr2,56
Bring Me The Horizon,MANTRA,amo,2019,060RNnzoMay3wKJek1faPc,60
Bad Omens,The Grey,THE DEATH OF PEACE OF MIND,2022,5oZy9b1lMtREB3cqOPQusD,61
Motionless In White,Sign Of Life,Scoring The End Of The World,2022,73QoCfWJJWbRYmm5nCH5Y2,62
Mägo de Oz,La Dama del Mar,La Dama del Mar,2021,2W13CX89uJekER0iKsqIhb,44
Skillet,Finish Line,Victorious,2019,2GJ1xx5ZoeIJYbQKLSpoZ3,59
Ozzy Osbourne,Mr. Crowley,Blizzard Of Ozz (40th Anniversary Expanded Edition),2020,2ov8L95QD25TLpZAZPYWXL,60
Loathe,Is It Really You?,I Let It in and It Took Everything,2020,4OmlsAT8r4q9vPFBvfYgyZ,64
Sleep Token,Jaws,Jaws,2018,2GPdGwBnFfruzFbJPd7uQS,65
Falling In Reverse,ZOMBIFIED,ZOMBIFIED,2022,2ib8fuTavdc48X6MjhE4Ft,61
Accept,Life's a Bitch,Life's a Bitch,2019,1KyA5lXW7cAgMLwxRdVAu3,51
I Prevail,Hurricane,TRAUMA,2019,2GFwwTIVLjnOrtP7m9luHC,64
Nonpoint,Bullet With a Name,To the Pain (Deluxe Edition),2019,50OsF8Rbv8VQS0WAP0uB3i,60
The Darkness,Christmas Time (Don't Let the Bells End),100 Greatest Christmas Songs Ever,2022,3p6OeDp9P4y3ZZCOoVKE2l,56
Guns N' Roses,Hard Skool,Hard Skool,2021,1Pvmzboyxwp1rOVYqwKIgU,50
We Came As Romans,Daggers,Darkbloom,2022,0JXILsWNyXHEd2IzofS3jX,57
System Of A Down,Protect The Land,Protect The Land / Genocidal Humanoidz,2020,11ajcVj3qSyyMPUpTJUP3y,58
Papa Roach,Leave a Light On (Talk Away The Dark),Ego Trip,2022,0b6fNjbiW4uF0W01GAfRVg,62
Gloryhammer,Hootsforce,Legends from Beyond the Galactic Terrorvortex,2019,5gJ1DNzFHwNFlEw1UltyFk,53
In Flames,I Am Above,"I, the Mask",2019,2t1G0rDxUY9zjML3f5mObb,54
Rammstein,Adieu,Zeit,2022,56SLMIzWKrEOWIQ5LCzKXV,58
I Prevail,Bow Down,TRAUMA,2019,5qD3Qv8Wu3r5uRD0DahcZy,63
Lamb of God,Memento Mori,Lamb of God,2020,5I29F9GR0OkaU1nuxp9hU8,55
Motörhead,Killed by Death,All the Aces,2022,2XvVueul226rT8g4DQuKSK,51
Saurom,Reina De Mis Sueños,Música,2020,5HY4O3rE2r5WH6pYZWs9mi,39
Within Temptation,The Reckoning,Resist (Extended Deluxe),2019,6XnPopwCZ6odHVVqMsllL5,54
Brothers of Metal,Ride of the Valkyries,Emblas Saga,2020,1npDycvcBm6bTnaajiTv3X,55
Sleep Token,The Offering,Sundowning,2019,1lXAzSbRH4VXrqgFuPQSFp,64
Slipknot,All Out Life,All Out Life,2018,6vAQtUlYrzolE6SS9QCTs5,59
Metallica,Lux Æterna,Lux Æterna,2022,0QfZ8OHFnFzLe66iFBww2U,52
Caskets,Drowned in Emotion,Lost Souls,2021,5nxcR7W60CU3cvmGX1jBzQ,60
BABYMETAL,PA PA YA!!,Metal Galaxy,2019,0hnTPdm3w4MzlBKc6ViOIP,48
Sum 41,Out For Blood,Order In Decline,2019,30XUVaCG8ghAiE45SnXLhn,51
Bring Me The Horizon,sTraNgeRs,sTraNgeRs,2022,5fpq1wF8xa5tSSlcKHdmGQ,60
Ozzy Osbourne,Hellraiser - 30th Anniversary Edition,No More Tears (30th Anniversary Expanded Edition),2021,0BW3ImhGyAdbM62rHPyNNB,54
Bad Omens,Dethrone,Finding God Before God Finds Me,2019,063enHR1mnhUpbb1rsQJOk,61
Electric Callboy,We Got the Moves,We Got the Moves,2021,4EFb9FhLyFiDbYKwBwDZre,56
Electric Callboy,Fuckboi (feat. Conquer Divide),TEKKNO,2022,1YO1vzBy6y44sosMHviv0S,55
Amaranthe,Archangel,Manifest,2020,63aGgWIoGfl3wxykzje8eJ,56
Falling In Reverse,Losing My Life,Losing My Life,2018,6SeFPYWv9lIlSWanyEDYf5,56
Guns N' Roses,November Rain - 2022 Version,Use Your Illusion I (Deluxe Edition),2022,3q9npStSssk7sZWotiNQLK,54
The Warning,CHOKE,ERROR,2022,1GQv9r0tn00ZfHTw92jAcW,54
Beast In Black,Cry Out For A Hero,From Hell With Love,2019,5AC6aY9RpZDmOIpDy75n3U,53
Architects,when we were young,the classic symptoms of a broken spirit,2022,7DkN4oeXv2mqyPy0sJNrus,55
Powerwolf,Incense & Iron,The Sacrament of Sin,2018,5KDcHol0FbJZCmNivYabkJ,54
Def Leppard,When Love And Hate Collide,The Story So Far: The Best Of Def Leppard,2018,4YwR2G26Pp5jNUX3gN3EIP,58
Skillet,Legendary,Victorious,2019,2pYaGdqXBrl8MdvuwgtBb7,58
