artista,cancion,album,año,genero,spotify_id,popularidad
Cannibal Corpse,"Surround, Kill, Devour",Violence Unimagined,2021,metal,3iZOVTPjyUEq9f5HsUQCj7,37
Nightwish,Ghost Love Score - Remastered,Once (Remastered),2021,metal,5S4QdtsgXQYoNsBT6VwDwu,33
花冷え。,Sentimental Heroine,Girl's Reform Manifest,2021,metal,1tiVcULS0wYfMW99PdpJxc,37
花冷え。,Bukkowasu!!,Girl's Reform Manifest,2021,metal,2DLxu9A5cqmipwtVf2ziH9,37
Cepheid,Lie of Providence,Lie of Providence,2021,metal,00ntty4vtBM7lejzKuSrdB,39
Tremonti,Let That Be Us,Marching in Time,2021,metal,4usX0xVxH3hZRGng8bniKS,34
Siamese,Can't Force the Love,Home,2021,metal,5iOxGHYz40yA5y5OhbkTtH,37
Skillet,Surviving The Game,Surviving The Game,2021,metal,5302m3J0HLANBaH3bCdDBb,38
Amenra,Ogentroost,De Doorn,2021,metal,2Gm1g1pkMm3i80FxiBDWas,31
LANDMVRKS,Tired of It All,Lost in the Waves,2021,metal,1JUOCrvhyi21yHPxLd5vJw,36
Wheel,Movement,Resident Human,2021,metal,79C8Ff4rJktlxG2rGbAh9J,32
God Complex,Death Trip,To Decay in a Deathless World,2021,metal,6XPUPCb9SLcBoSpOG9OOud,43
Annisokay,Under Your Tattoos,Aurora,2021,metal,6koYE3878OQT34mPMuGZ4X,35
Kanonenfieber,Dicke Bertha,Menschenmühle,2021,metal,2AAdFfFxtWeDAmjXljpYBF,37
Our Last Night,good 4 u,good 4 u,2021,metal,1fEEoqniY1XmV8hfnxtAD0,42
Powerwolf,Dancing with the Dead,Dancing with the Dead,2021,metal,7KOCjpEPpWhjUQwMhewWy6,30
Deafheaven,In Blur,Infinite Granite,2021,metal,1INgqSIf08RlPhcWSrXXP4,36
Jonathan Young,Heroooooooooooooooo!,Young's Old Covers (Anime),2021,metal,0ySIfOORC6YvjWmRsDOWs0,37
Këkht Aräkh,Thorns,Pale Swordsman,2021,metal,2RrDy1BhIseyzwWSCKhsap,38
Nightwish,The Siren - Remastered,Once (Remastered),2021,metal,6iIrNHWCNAeoOkVXKlZzjK,32
Kanonenfieber,Die Schlacht bei Tannenberg,Menschenmühle,2021,metal,4WTDxycygK2feRpwI57eH6,37
Tremonti,A World Away,Marching in Time,2021,metal,1QXR29wIKuCAGsenlpyEZz,34
Jonathan Young,Valhalla Calling,Valhalla Calling,2021,metal,5mPRCDQ0SHTg5n19CKIT6W,39
Ghost,Enter Sandman,The Metallica Blacklist,2021,metal,7uclOPUBgZyuowtCNxiopc,31
Bleed From Within,I Am Damnation,I Am Damnation,2021,metal,17ExHVQYfJBlTSnbidz0LQ,35
Rob Zombie,Crow Killer Blues,The Lunar Injection Kool Aid Eclipse Conspiracy,2021,metal,3LK0cE6zURQCFoiAzQiaUy,37
Archspire,Drain of Incarnation,Bleed the Future,2021,metal,0d3cbApujvuh5BukodWfbV,38
Metallica,"Seek & Destroy - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991",Metallica (Remastered Deluxe Box Set),2021,metal,341803NTbWrPwaeXI0xGEj,30
Daughtry,Lioness,Dearly Beloved,2021,metal,2Rl6trOOtjp907YwC3KsNk,37
Dream Theater,Transcending Time,A View From The Top Of The World,2021,metal,7u7AkPCTNsSUJxRfCBRftA,31
Këkht Aräkh,Lily,Pale Swordsman,2021,metal,6VvR2mNUUS1ORNZW03ZJ6F,37
Megadeth,"Symphony of Destruction - Live at Obras Sanitarias Stadium, Argentina, 2005",That One Night: Live In Buenos Aires,2021,metal,2HBj7ObpsG0iPg7iqAYcZI,32
Archspire,Abandon the Linear,Bleed the Future,2021,metal,6zSoTY0gzjLX6mEpeDHwGE,37
Sabaton,The Royal Guard,The Royal Guard,2021,metal,4b5wv7SrTtIO7z8uwYAiP5,37
VOLA,Stone Leader Falling Down,Witness,2021,metal,6TSbhi1sDbzS3lVuiJElzF,32
Volumes,Bend,Happier?,2021,metal,1v2e2rAmPZMXsUl3zdQLN0,42
Holding Absence,In Circles,The Greatest Mistake of My Life,2021,metal,6SUNDxb0VGN0GknHuJPa6i,41
Evanescence,Blind Belief,The Bitter Truth,2021,metal,1Hklr7RCxIV3gQxE1FxXeH,28
Atreyu,Warrior,Warrior,2021,metal,7i7qwDw9QAPadgKfB5unzH,37
Nonpoint,Ruthless,Ruthless,2021,metal,6VsTU2UGs8A432MhvDPzga,41
Electric Callboy,Hypa Hypa,MMXX - Hypa Hypa Edition,2021,metal,5BVNXl23xEtFgsKmbKpYfA,39
Dead by April,Anything at All,Anything at All,2021,metal,5p144lbzJw9kMCMOG61SF3,35
