Artista,Reproducciones,Oyentes,Biografía,Artistas_Similares
Ocean Grove,2724034,94105,"[1] Ocean Grove is an Australian nu metal band formed in 2010. The band consists of vocalist Dale Tanner, drummer/producer Sam Bassal and bassist/vocalist Twiggy Hunter. Studio-only member Running Touch (real name Matthew Victor Kopp)  also provides synthesizers and additional production.

As of 2022, the band has released four studio albums; The Rhapsody Tapes (2017), Flip Phone Fantasy (2020), Up In The Air Forever (2022), and Oddworld (2024); along with two EP's; Outsider (2013) and Black Label (2015) <a href=""https://www.last.fm/music/Ocean+Grove"">Read more on Last.fm</a>","Darke Complex, Cane Hill, Void of Vision, Northlane, Diamond Construct"
LOVEBITES,1045667,24451,"LOVEBITES is a young Japanese heavy metal / power metal all female band from Tokyo. The initial line up consists of: Asami (vocals), Midori (guitar), Miho (bass), Haruna (drums) and   Miyako (guitar/keyboard). Their first live performance took place in November 18, 2016 at Shibuya. Soon after on 24 May, 2017 the band has released 4-track minialbum ""THE LOVEBITES EP"" promoted by a MV ""Don't Bite The Dust"".

On summer 2017, the band has announced an upcoming full-lenght album ""AWAKENING FROM THE ABYSS"" to be released on 25/10 this year. <a href=""https://www.last.fm/music/Lovebites"">Read more on Last.fm</a>","Aldious, Mary's Blood, Hagane, NEMOPHILA, Bridear"
Kadavar,3129769,138321,"There are multiple artists with this name:

1) Kadavar is a progressive / hard / psychedelic rock band from Berlin, Germany. The play a sort of retro rock / proto-metal with occult themes.

Current line-up:	
Christoph ""Wolf"" Lindemann - vocals, guitar
Christoph ""Tiger"" Bartelt - drums
Simon ""Dragon"" Bouteloup - bass

Former members:
Philipp ""Mammut"" Lippitz - bass

2) Kadavar was an old school death metal band formed in 2007 from Milan, Italy. The band managed to release a demo, EP, and a full length before disbanding in 2009. <a href=""https://www.last.fm/music/Kadavar"">Read more on Last.fm</a>","Graveyard, Greenleaf, Witchcraft, 1000mods, Horisont"
Marko Hietala,352876,25500,"Famous bass player and singer of the Finnish metal acts Nightwish and Tarot. Sang two 'metallized' versions of traditional Christmas songs for the compilation Raskasta Joulua and two more for compilation Raskaampaa Joulua.

From Wikipedia, the free encyclopedia:
Marco Hietala (born January 14, 1966 in Finland) is the bassist and second vocalist of the Finnish symphonic metal band Nightwish. He joined the band for their 2002 album Century Child, following the departure of previous bassist Sami Vänskä. <a href=""https://www.last.fm/music/Marko+Hietala"">Read more on Last.fm</a>","Leverage, Tarot, Tuomas Holopainen, Dynazty, Northern Kings"
Theory of a Deadman,24280734,1197937,"Theory of a Deadman (or Theory for short) is a rock band from North Delta, British Columbia, Canada, formed in 2001, signed by Nickelback vocalist Chad Kroeger to 604 Records, after lead singer Tyler Connolly gave Kroeger a demo tape. The band also includes traits of other music styles, such as country, metal and more acoustic elements. Theory has released eight studio albums and three #1 hits on the Mainstream Rock Chart. The band scored the entire soundtrack for the video game, ""Indigo Prophecy"" / ""Fahrenheit"". <a href=""https://www.last.fm/music/Theory+of+a+Deadman"">Read more on Last.fm</a>","Hinder, Shinedown, Saving Abel, Pop Evil, My Darkest Days"
Ninkharsag,408510,27234,"Inspired by black magick, dark history, nature and warfare, Ninkharsag delve deep into forgotten lore to imbue a feeling of ancient archaism to their compositions. 

Musically, they have been compared to paragons of the genre such as Emperor, Mayhem, and Dissection; but Ninkharsag has their own unmistakable style which sets them apart from other contemporary bands and drags the classic 90’s black metal sound into the 21st century. <a href=""https://www.last.fm/music/Ninkharsag"">Read more on Last.fm</a>","Warmoon Lord, Nordjevel, Sarastus, Doedsvangr, White Rune"
The Wise Man's Fear,974239,45449,"The Wise Man's Fear is an American Metalcore band from Central Indiana consisting of: Tyler Eads (clean vocals), Joseph Sammuel (harsh vocals), Codi Chambers (lead guitar), Nathan Kane (rhythm guitar/vocals), Thomas Barham (bass), and Paul Lierman (drums and lyrics).

The group debuted its first full-length record, ""Castle in the Clouds"", in the summer of 2015. The album chronicles the adventures of a young knight (representative of mankind) on his quest to find a legendary Castle and allegorically, the meaning of life. <a href=""https://www.last.fm/music/The+Wise+Man%27s+Fear"">Read more on Last.fm</a>","If I Were You, Hollow Front, City State, Kingdom of Giants, Like Moths to Flames"
Falconshield,610558,34636,"   My name is Josef Falkensköld, and I employ myself as a composer and sound designer for various media, mainly Games and Television.
   I live just outside the city of Umeå, a town located in northern sweden. <a href=""https://www.last.fm/music/Falconshield"">Read more on Last.fm</a>","The Chalkeaters, Pentakill, FamilyJules, Jonathan Young, boi what"
The Pineapple Thief,8483482,208513,"In April 2008 The Pineapple Thief launched the Kscope label with the critically acclaimed album, Tightly Unwound.

Initially a solo outlet for Bruce’s music the first album, Abducting the Unicorn, was released on Cyclops Records in May 1999. The critical plaudits and small but fanatical fan base that grew around the release was enough to convince Bruce that perhaps TPT was here to stay and he returned to the Dining Room studios to work on the second TPT album, 137. <a href=""https://www.last.fm/music/The+Pineapple+Thief"">Read more on Last.fm</a>","Bruce Soord, Steven Wilson, Riverside, Blackfield, Gazpacho"
Butcher Babies,1948732,82907,"Butcher Babies is an American heavy metal band from Los Angeles, California. Consisting of frontwomen Heidi Shepherd and Carla Harvey, guitarist Henry Flury (Amen), and drummer Chase Brickenden, the band signed a worldwide deal with Century Media Records in 2012, and later embarked on a North American tour with Marilyn Manson. Their debut album, Goliath, was released in 2013 via Century Media Records. It sold 3,300 copies in the US during its first week of release and charted at No. <a href=""https://www.last.fm/music/Butcher+Babies"">Read more on Last.fm</a>","Infected Rain, In This Moment, September Mourning, Fate DeStroyed, The Agonist"
