artista,cancion,album,año,spotify_id,popularidad
Olivia Rodrigo,drivers license,SOUR,2021,5wANPM4fQCJwkGd4rN57mH,82
Sebastian Yatra,Traicionera,MANTRA,2018,4Ft0391aLVNtCPPseh98lp,71
Lewis Capaldi,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),2019,2gMXnyrvIjhVBUZwvLZDMP,80
Feid,FRIKI,INTER SHIBUYA (FERXXO EDITION),2021,2WrqTrNIHqfcMCgmEo0A7E,72
Piso 21,Te Vi,Te Vi,2018,059bcIhyc2SBwm6sw2AZzd,77
Adele,Easy On Me,30,2021,46IZ0fSY2mpAiktS3KOqds,82
Maria Becerra,AUTOMÁTICO,LA NENA DE ARGENTINA,2022,0poQY3RMThmIiutOGv3yH3,68
Billie Eilish,when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019,43zdsphuZLzwA9k4DJhU0I,83
Ozuna,Solita,Solita,2018,7rwX0O3RlxqqIjQM8evm5E,70
Harry Styles,Watermelon Sugar,Fine Line,2019,6UelLqGlWMcVH1E5c4H7lY,81
Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,Mercury - Acts 1 & 2,2022,3CIyK1V4JEJkg02E4EJnDl,80
Imagine Dragons,Bones,Mercury - Acts 1 & 2,2022,54ipXppHLA8U4yqpOFTUhr,80
Dua Lipa,Don't Start Now,Future Nostalgia,2020,3PfIrDoz19wz7qK7tYeu62,81
Drake,God's Plan,Scorpion,2018,6DCZcSspjsKoFjzjrWoCdn,81
Camilo,BEBÉ,Mis Manos,2021,3Zf4GutWZ7Hv3wsVQsSQPs,70
Rauw Alejandro,Cosa Guapa,VICE VERSA,2021,7aWiJeMyxxPEyjwvZyauAF,71
Morat,Debí Suponerlo,SI AYER FUERA HOY,2022,2pIIRKRwWSi1Sb29VYLOOa,72
Rauw Alejandro,Tattoo - Remix with Camilo,Afrodisíaco,2020,4G3PTss3mU33Tau7t4KbwE,71
Sebastian Yatra,No Hay Nadie Más,MANTRA,2018,3IPJg1sdqLj12kFIndaonN,72
