artista,cancion,album,año,genero,spotify_id,popularidad
Robbie Williams,Rudolph,The Christmas Present (Deluxe),2020,rock,5TBunHtzJOIxTpWm2uYkWu,40
Guns N' Roses,Paradise City,Greatest Hits,2020,rock,2WjqUmfJJWopXQuCmjN56Q,40
Ciro y los Persas,Te Encontré (Acústico),Guerras (Un Viaje en el Tiempo),2020,rock,1yB0GiaDvlGfLDJlaHSJyl,44
Generación 12,Dios Conmigo Estás,Dios Conmigo Estás,2020,rock,6ajcKo8JZHQiPaAzwhsHUa,43
Palaye Royale,Anxiety,The Bastards,2020,rock,6jxmo6nCMbZ0AWN8C0zdSM,46
Eve,Shinkai,Kaikai Kitan / Ao No Waltz,2020,rock,44VYdLnwvhn1H1cfieb84a,49
Dear Sunday,Never Again,Never Again,2020,rock,00hMS0akp6pTIM83vZvH3U,49
Enter Shikari,THE GREAT UNKNOWN,Nothing is True & Everything is Possible,2020,rock,6JVjF24NA12pIUZJG8DChU,45
Viniloversus,Canción de Amor,Canción de Amor,2020,rock,08cKYcUskKnbKC6nwJXNaW,38
Danny Gokey,No Lo Has Visto Aún,No Lo Has Visto Aún,2020,rock,4C7cPjGcerqjg0cy9hW33k,39
Kazzabe,Ansiedad de Amar,Puros Éxitos,2020,rock,46CBFGOoVzgmbObLWVtftH,34
Michael Ray,Whiskey And Rain,Whiskey And Rain,2020,rock,1tf4Bfk8JIKryLpWYRvyiI,55
Siddhartha,Algún día (Cap. 1),MEMORIA FUTURO,2020,rock,63fVIeGTRSncciWivjqruM,58
Gepe,Timidez (feat. Natalia Lafourcade),ULYSE,2020,rock,6JMp6i9OZ70VwsC2MbgX5n,41
Dominic Fike,Come Here,What Could Possibly Go Wrong,2020,rock,3Wgs96Z4TdCpnqFj2CxpsI,50
Kike Pavón,Un Loco Más,Punto y Aparte,2020,rock,5X5CRH2wK22AmRySKSNaWM,40
Jorge Luis Chacin,Virgen Guaquera / Lo Voy a Tocar a Pie / Orinoco,El Cuenta Canciones (Vol. 2),2020,rock,5wXOBs3T4VkXBMopxg1xtz,32
Nochnye Snaipery,секунду назад,O2,2020,rock,4CucNWM3qXMdgzVIypeUUC,46
Las Pelotas,Ya Lo Sabés,Es Así,2020,rock,5mMFnSDg8Jz0BDToHPahlg,43
Luke Bryan,One Margarita,Born Here Live Here Die Here,2020,rock,1Y3TlYJNhIa7k4YAvFkJAB,62
Brother Firetribe,Bring on the Rain,Feel the Burn,2020,rock,15Hxsem4kF3egCwwoKnuKZ,39
Ingrid Rosario,He Visto Tu Fidelidad,He Visto Tu Fidelidad,2020,rock,7ySGLmhySnAykRUuuSg7zc,36
Flema,Si Yo Soy Así,25 Años,2020,rock,61NNLPn7WrBLBNhEAgHSvu,41
Kazzabe,El Piñuño,Puros Éxitos,2020,rock,1XjRUREBK0yhnbNDEdNIEi,32
High Valley,Grew up on That,Grew Up On That (Quarantine Edition),2020,rock,1dwYdVvxMwMllDgwQuXMGs,43
конец солнечных дней,дети немой страны,осень,2020,rock,1xwDjxLlGNxXiHYqltJvpH,51
THE ROOP,On Fire,On Fire,2020,rock,5TXxwRgdIS4gPjUtKwTuSb,34
Los Cafres,Cómo Ver?,Cómo Ver?,2020,rock,0MNpiDfmdKHbe5l2w0gq2w,42
Siddhartha,Buscándote (Cap. 7),MEMORIA FUTURO,2020,rock,5GEmAmoA6VJUg11Z6iDhjf,57
Ocean Alley,Tombstone,Lonely Diamond,2020,rock,1fD7qtrFhJReUkEEAvwt3b,56
Smash Into Pieces,Arcadia,Arcadia,2020,rock,3vauFJREJ2w7PaHCsfpquE,44
Dread Mar I,Tú Conoces Mis Miserias,Tú Conoces Mis Miserias,2020,rock,2dpIWnijDsnTfrV2IzXrZF,44
Lauren Daigle,Tú Dices,Tú Dices / Rescata,2020,rock,54QrUOoUEddh6h0ITdSqGu,44
Colton Dixon,Miracles,Devil Is A Liar,2020,rock,7u67t6j872bK1tDbMUjnMz,58
Old Mervs,Cellphone,Cellphone,2020,rock,3WGmlIrxn9JNX7uE4Ks1jG,49
Señor Loop,Jazz Fest,La Leña Que Prende Madera,2020,rock,62wiJqpEO9JqGHwdlojKdS,38
Gorillaz,With Love To An Ex (feat. Moonchild Sanelly),"Song Machine, Season One: Strange Timez (Deluxe)",2020,rock,4KAIfa7oABPJbKT4cUz4Tx,40
Gerry Cinnamon,Sun Queen,The Bonny,2020,rock,4xUXTV2U4P7nhKzOapZALT,53
MY FIRST STORY,"1,000,000 TIMES feat. chelly (EGOIST)","1,000,000 TIMES",2020,rock,3dVMeI08Of33bjSELmtSqq,48
Chris Tomlin,Christmas Day,Miracle Of Love: Christmas Songs Of Worship,2020,rock,58ePGDlx3W3o9sh8N1HLh3,55
100 gecs,xXXi_wud_nvrstøp_ÜXXx (Remix) [feat. Tommy Cash & Hannah Diamond],1000 gecs and The Tree of Clues,2020,rock,3bz4WlzYw6XatcaTIh0zGX,40
Betcha,July,Feels Like We’ve Been Here Before,2020,rock,2b0G006xcIUoqvRDDaCT8E,47
Arctic Monkeys,Why'd You Only Call Me When You're High? - Live,Live at the Royal Albert Hall,2020,rock,1VUcb7Ik5bYw0SzXBH9rLr,41
So!YoON!,Wings,Wings,2020,rock,3ieVRTL0jHyZD6AAjcoeQa,55
Tauren Wells,Famous For (I Believe),Citizen of Heaven,2020,rock,2RuUAwOz2vyArTaiMQUL7j,57
Arctic Monkeys,505 - Live,Live at the Royal Albert Hall,2020,rock,4Q2vbGXSU28xWveWKp4wra,41
JANNABI,A thought on an autumn night,JANNABI's Small Pieces l,2020,rock,4YaKlkNVJNbrIqN82EKFsQ,52
Ciro y los Persas,Ruleta (Acústico),Guerras (Un Viaje en el Tiempo),2020,rock,0TezN9iBj5z9RilApkDRdb,43
El Zar,Adonde Quieras,Pura Casualidad,2020,rock,2cp0OKya8Ocqk1sj5rrmtx,40
Palaye Royale,Fucking With My Head,The Bastards,2020,rock,7w11xmMln4hk8DEwoefLwj,44
Las Pastillas del Abuelo,Rocanrol N´n´n´,2020,2020,rock,7urJDsm8LKxd8YKG4mWqiw,45
Smash Into Pieces,Forever Alone,Arcadia,2020,rock,7rezNSm34W42mRbv4VuExQ,43
Kazzabe,Chocolate,Puros Éxitos,2020,rock,2tcYT8GZ7v0bHxdYlpDfZ7,32
Danny Vera,Roller Coaster,PRESSURE MAKES DIAMONDS,2020,rock,1z2HAz6JcwfGHKMSgKEA3D,37
Kazzabe,El Coco,Puros Éxitos,2020,rock,03rcOitG39zBAW1HrFNbUR,30
Glass Animals,Hot Sugar,Dreamland,2020,rock,0r9OkYadpBgYA2bkkrRSsI,51
Palaye Royale,"Massacre, The New American Dream",The Bastards,2020,rock,3eqGymybwhdpKGVnbclzsL,43
Nívea Soares,Caminho no Deserto,Caminho no Deserto,2020,rock,2sKdvtNeQ3D2Lt6ZCHNNSa,63
Gerry Cinnamon,Ghost,The Bonny,2020,rock,4gOhZVmp5PxwNC05qS3BiD,50
Lee Brice,Soul,Hey World,2020,rock,3vCUelLOtiuNF78p9LNWZF,59
MisterWives,SUPERBLOOM,SUPERBLOOM,2020,rock,2HvtedoEeymVWrBPyAMNwZ,52
Nickelback,The Devil Went Down to Georgia,The Devil Went Down to Georgia,2020,rock,6ECxUPxgam9THf9KWCnrcX,51
Evdeki Saat,Uzunlar - V1,Uzunlar,2020,rock,1vLkBVAy8ZWrqcQjYTPP3a,62
Brothers Osborne,I'm Not For Everyone,Skeletons,2020,rock,143YESFOZqxVGrKEWisbid,56
Enjambre,Siempre Tú,Próximos Prójimos,2020,rock,3Q9aU1vYLq6vlPHXwfoFGG,55
Gian Marco,Se Que Piensas en Mi,20 Años,2020,rock,4JwHAjCwxtbT5E9y14m4pv,34
Brunori Sas,Il mondo si divide,Cip!,2020,rock,59E0Vlmu0IehbwpLot1lub,44
Cruzando El Charco,El Trato,El Trato,2020,rock,5nBj9qsukQzDzHDVqn2Hjj,46
Kazzabe,Jardin de Amor,Puros Éxitos,2020,rock,3UXcONaiWVF0eucNjM1CE4,29
DMA'S,Silver,THE GLOW,2020,rock,73bf444yJ2NgCmlY0z9UR1,48
ChocQuibTown,Pa Olvidarte,ChocQuib House,2020,rock,46LzmjYg01134CX9vrOaOI,34
Bee Gees,Spicks And Specks,How Can You Mend A Broken Heart,2020,rock,2CGRcsLboTCSBTV5s1VMEO,40
for KING & COUNTRY,Heavenly Hosts,A Drummer Boy Christmas,2020,rock,73qkqix6nJuYUZQ44raWXs,53
Kari Jobe,The Blessing,The Blessing,2020,rock,2lIB1TU0Cqnc6RuYDjc92z,58
Zoé,El Duelo,El Duelo,2020,rock,1QYBZjQIHuWRRdKQ5An6jP,45
Thomas Rhett,On Me (feat. Ava Max),SCOOB! The Album,2020,rock,7k6tAZp4m93oswrPqSfBbc,48
El Plan De La Mariposa,Tesoro Escondido,Estado de Enlace,2020,rock,4jyNJyRP9FDE3FTtQUPTAR,43
Nothing But Thieves,Impossible,Impossible,2020,rock,547VvUJcGmn26XJwHNueOa,40
for KING & COUNTRY,Go Tell It On The Mountain,A Drummer Boy Christmas,2020,rock,6t9cECeEgIcrjmuWrKaBtw,55
Nonpalidece,Vuela Alto,Vuela Alto,2020,rock,3k1c9kbmwpOcZGThO2grO7,39
Cidergirl,ID,ID,2020,rock,2TdfwkIHpCb0S8NYJVyr2X,43
Feuerschwanz,Ding,Das Elfte Gebot (Deluxe Version),2020,rock,3cAhVHj2dtJyc68Uk6PvXn,41
Pornofilmy,Это пройдёт,Это пройдёт,2020,rock,0EgL7imlgj3T3dJsrjGDxc,45
Glass Animals,Domestic Bliss,Dreamland,2020,rock,26E2fb3lp8MUEHq1WagF5f,49
Simón Díaz,Venezuela Habla Cantando,Simón Díaz Recuerda y Canta,2020,rock,6HhyAOskzUIxlK4hxPrTUp,26
Goth Babe,Moments / Tides,Moments / Tides,2020,rock,7D56acHvA76RlIuebqxWKD,53
The Terrys,Penny,Penny,2020,rock,1MHdO5mfEhYClVanX85Uq3,47
Sophie Hunger,There Is Still Pain Left - Laolu Remix,Molecules (Remix),2020,rock,0SrGfQS8tME1evNBTJPNVn,43
Bersuit Vergarabat,Un Pacto - En Vivo,De la Cabeza 2,2020,rock,3g8vgAx9nQWBWw2USi5xEA,39
Gian Marco,Retrato,20 Años,2020,rock,4NpyXt5mPzpufw5sqGLL4v,32
Ozzy Osbourne,Under the Graveyard,Ordinary Man,2020,rock,0LagWpYHMaQjbCeAIoOKVg,46
Enjambre,Divergencia,Próximos Prójimos,2020,rock,4xdlkF8HZNcAcDFignXyXh,53
Flema,Más Feliz Que la Mierda,25 Años,2020,rock,33xvLHLR4T6FdGZ2Nvonww,38
Піккардійська терція,Добрий вечір тобі,Різдвяні колядки,2020,rock,1RkZiw3RIvj9dfh4IJX3dS,41
Vistas,Merry Christmas Everyone - Recorded at Parr Street Studios,Merry Christmas Everyone - Recorded at Parr Street Studios,2020,rock,5YDrnmiVzAmHmIUhLQqy6H,40
Nerd Connection,‎Good Night Good Dream,‎Good Night Good Dream,2020,rock,3s761CQaziQ0GEN1yUkIsG,51
Kazzabe,Punta Rebane Pum Pum,Puros Éxitos,2020,rock,4Mv1rmc0MlZZvzktu6iI1S,28
Las Pastillas del Abuelo,Incontinencia Verbal,2020,2020,rock,54G2AiN4wrcdF6BgZTWN4e,42
Ciro y los Persas,Tan Solo (Acústico),Guerras (Un Viaje en el Tiempo),2020,rock,5YvShwXtxESCHIPNs0xGxW,40
Surf Trash,All My Problems,All My Problems,2020,rock,7jKoIq3fEmFEftlj6h1L7I,43
Fito Paez,Gente en la Calle (feat. Lali),La Conquista del Espacio,2020,rock,1vB3lx4tIfMtyuiFMUTcYC,37
Zoé,SKR,SKR,2020,rock,4UShyGW0d8C8j8npDZ8img,48
Etana,Bubble,Gemini,2020,rock,0Wszs6jrBwK0YO2vYLb1We,38
Siddhartha,Película (Cap. 3),MEMORIA FUTURO,2020,rock,3Y7PAH3mOqLGSMp5O5uZFj,53
La Beriso,El Mundo a Mis Pies,El Mundo a Mis Pies,2020,rock,4mtslcnMxjsGPqRPLvqoqE,35
Skank,Simplesmente,Simplesmente,2020,rock,60m0V9vDxXMfBn9geBFOIn,49
Azain,Nydia,Sincronizaciones Paralelas,2020,rock,3SpuNimBTuXNqfbCy5sErJ,49
NEEDTOBREATHE,Who Am I,Out of Body,2020,rock,1KKTKUFmFLZmEhbUyj47jN,57
Simón Díaz,Compadre Pancho,Simón Díaz Recuerda y Canta,2020,rock,6XAHDycB53Zg2sWucipn7e,25
SPYAIR,One Day,One Day,2020,rock,4VKImVpGSJ60yBqjiKDPvZ,43
Brent Cobb,No Place Left to Leave,No Place Left to Leave (2006),2020,rock,3ByY1rAdGseNiZ43YknF3d,48
Jorge Luis Chacin,Si Yo Fuera Tu / Amor de Primavera,El Cuenta Canciones (Vol. 2),2020,rock,5kNz65unOpklNADqmbF8hg,26
1915,Los Años Futuros,Los Años Futuros,2020,rock,5beo8PLFJ17dBKLfTMf2oV,39
Feuerschwanz,Das Elfte Gebot,Das Elfte Gebot (Deluxe Version),2020,rock,5SG48LvorY1ravJI3mMl3S,42
Kazzabe,El Amor de una Rosa,Puros Éxitos,2020,rock,0zBanLeL3caNGpGZfO62IV,26
Okills,Amigos,Dimensión Caribe,2020,rock,187MoZm4r1N74DjImP9v3x,45
Gepe,Confía,Confía,2020,rock,1SXPlj3wH0Luz40LmBFjso,40
Rum Jungle,Keep,Keep,2020,rock,51YnkTaHi7uNY5KkJtDsdC,46
Ryan Stevenson,Amadeo (Still My God),Wildest Dreams,2020,rock,7BhvOAA8kaGhd2dsa27XP8,55
We The Lion,Spirits,Spirits,2020,rock,6SZolMIWmbbaGzmf8adxN2,31
Indios,Todas las Flores de Enero,Todas las Flores de Enero,2020,rock,1hewNRg4E4KU8r7LV2eu9x,37
Arctic Monkeys,R U Mine? - Live,Live at the Royal Albert Hall,2020,rock,30a6L5cAZgVbqA3QfO0RS5,37
Mando Diao,Själens skrubbsår,I solnedgången,2020,rock,5CpZydH6srVhqSiprVFhzB,38
Vicentico,No Tengo,No Tengo,2020,rock,0ZGmRAxY2XT3G0TJqWVOjA,38
Robbie Williams,Christmas (Baby Please Come Home) (feat. Bryan Adams),The Christmas Present (Deluxe),2020,rock,2TLbmWYZIUyaRT4vwr1tiH,40
Sam Hunt,Kinfolks,SOUTHSIDE,2020,rock,52lGuLAkIVbm4LZkSf9nj0,58
Brother Firetribe,Night Drive,Feel the Burn,2020,rock,1EnszoyKk67dQLK3olWlt4,36
Brunori Sas,Un errore di distrazione - Tratto dal film “L’ospite”,Un errore di distrazione (Tratto dal film “L’ospite”),2020,rock,0NByF75EXNIt434QIVDal1,41
LosPetitFellas,Buenos Días,777: Buenos Días,2020,rock,5INXL8RkKHT38hlKP1WwEl,37
Drake White,Mix 'Em With Whiskey,Stars,2020,rock,3VnXB2Z2Tpv9coAcUb4RVz,48
El Plan De La Mariposa,Un Mal Delito Entre Confiar o Morir,Estado de Enlace,2020,rock,3zK5xotUGYEn9NRNLy7ji5,40
Jameson Rodgers,Cold Beer Calling My Name,Cold Beer Calling My Name,2020,rock,3dV1fjKOlLnaNK5MeZHXGv,55
Papina de Palma,No es joda,No es joda,2020,rock,3TgjW7aXDpGtdI1bxE3Ooq,29
