cancion,artista,año,genero,popularidad
"Just Pretend","Bad Omens",2022,metal,74
Zombie,"Bad Wolves",2018,metal,73
"THE DEATH OF PEACE OF MIND","Bad Omens",2022,metal,72
"Like A Villain","Bad Omens",2022,metal,71
Alkaline,"Sleep Token",2021,metal,70
