cancion,artista,año,genero,popularidad
"U Are My High (with Future)","DJ Snake",2021,electronic,71
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",2019,electronic,71
"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",2019,electronic,71
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",2018,electronic,70
"Wake Me Up In Paris","Anthony Keyrouz",2020,electronic,68
